domain,problem_file,planner,solved,timed_out,runtime_s,makespan,valid
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p06.pddl,HSP,False,True,35.0629,,
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p06.pddl,PRW,False,True,35.0970,,
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p07.pddl,HSP,True,False,9.6987,21,
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p07.pddl,PRW,True,False,8.6500,83,
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p08.pddl,HSP,False,True,35.0595,,
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p08.pddl,PRW,True,False,10.5133,162,
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p09.pddl,HSP,False,True,35.0768,,
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p09.pddl,PRW,False,True,35.1306,,
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p10.pddl,HSP,True,False,15.0100,25,
depot,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc2002\depots\strips-automatic\p10.pddl,PRW,True,False,12.1212,163,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p01.pddl,HSP,True,False,6.2875,11,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p01.pddl,PRW,True,False,6.4023,40,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p02.pddl,HSP,True,False,6.6613,17,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p02.pddl,PRW,True,False,6.1906,48,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p03.pddl,HSP,True,False,9.2337,23,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p03.pddl,PRW,True,False,6.7971,97,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p04.pddl,HSP,True,False,18.7781,29,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p04.pddl,PRW,True,False,6.7655,118,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p05.pddl,HSP,False,True,35.1628,,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p05.pddl,PRW,True,False,7.1452,108,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p06.pddl,HSP,False,True,35.0794,,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p06.pddl,PRW,True,False,6.9338,110,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p07.pddl,HSP,False,True,35.1065,,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p07.pddl,PRW,True,False,7.0804,164,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p08.pddl,HSP,False,True,35.1169,,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p08.pddl,PRW,True,False,7.2554,180,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p09.pddl,HSP,False,True,35.1059,,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p09.pddl,PRW,True,False,7.3865,196,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p10.pddl,HSP,False,True,35.0819,,
gripper,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\gripper\adl\p10.pddl,PRW,True,False,7.3924,252,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p01.pddl,HSP,True,False,20.8870,23,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p01.pddl,PRW,True,False,11.5849,135,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p02.pddl,HSP,False,True,35.1247,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p02.pddl,PRW,True,False,21.0419,233,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p03.pddl,HSP,False,True,35.2158,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p03.pddl,PRW,False,True,35.2061,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p04.pddl,HSP,False,True,35.2995,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p04.pddl,PRW,False,True,35.2744,,
logistics,C:\Users\touse\Downloads\pddl4j-master\pddl4j-master\src\test\resources\benchmarks\pddl\ipc1998\logistics\adl\p05.pddl,HSP,True,False,33.6504,20,
